incident_id,No,Type,Status,Age Group,Gender
449083,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449089,0,Victim,Unharmed,Adult 18+,Male
449089,1,Victim,Unharmed,Adult 18+,Male
449089,2,Victim,Unharmed,Adult 18+,Male
449089,3,Subject-Suspect,Killed,Teen 12-17,Male
448680,0,Subject-Suspect,Unharmed,Adult 18+,Male
449108,0,Subject-Suspect,Killed,Adult 18+,Male
448926,0,Victim,Killed,Adult 18+,Male
448502,0,Victim,Unharmed,Adult 18+,Male
448502,1,Subject-Suspect,Unharmed,Adult 18+,Male
449030,0,Victim,Injured,Adult 18+,Male
448865,0,Victim,Unharmed,Adult 18+,Female
448865,1,Subject-Suspect,Unharmed,Adult 18+,Male
449430,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449430,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448819,0,Victim,Unharmed,Adult 18+,Male
448819,1,Subject-Suspect,Unharmed,Adult 18+,Male
448265,0,Victim,Injured,Adult 18+,Male
448265,1,Victim,Injured,Adult 18+,Male
448803,0,Victim,"Unharmed, Arrested",Adult 18+,Male
448803,1,Subject-Suspect,Unharmed,Adult 18+,Female
448803,2,Subject-Suspect,Injured,Adult 18+,Male
448627,0,Victim,Injured,Adult 18+,Male
448627,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448374,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448643,0,Subject-Suspect,Injured,Adult 18+,Female
449262,0,Victim,Killed,Adult 18+,Female
449262,1,Subject-Suspect,Killed,Adult 18+,Male
448038,0,Victim,Injured,Adult 18+,Female
449288,0,Victim,Injured,Adult 18+,Male
448331,0,Victim,Killed,Adult 18+,Female
448331,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
475307,0,Victim,Killed,Adult 18+,Male
475307,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
475307,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448944,0,Victim,Injured,Adult 18+,Male
448944,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448944,2,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
447977,0,Victim,Killed,Adult 18+,Male
447977,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
448791,0,Victim,Killed,Adult 18+,Male
448791,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449404,0,Subject-Suspect,Arrested,Adult 18+,Male
450054,0,Victim,Injured,,Male
450054,1,Subject-Suspect,,Adult 18+,Male
450054,2,Subject-Suspect,,Adult 18+,Male
448138,0,Victim,Killed,Adult 18+,Male
448991,0,Victim,Injured,,Male
448991,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,
576117,0,Victim,Injured,Child 0-11,Male
454075,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449342,0,Victim,Injured,Child 0-11,Male
448710,0,Victim,Killed,Adult 18+,Male
448710,1,Subject-Suspect,Arrested,Adult 18+,Male
449357,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449357,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449357,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448733,0,Victim,Killed,Adult 18+,Male
449373,0,Victim,Killed,Adult 18+,Male
455654,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
455654,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
448273,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448697,0,Victim,Killed,Teen 12-17,Male
448697,1,Subject-Suspect,Injured,Adult 18+,Male
